Date,ActualReturn,sigma_EGARCH,VaR_95,ES_95,VaR_99,ES_99
2025-01-15,1.802652030354679,1.0233275397136,-1.6832240152572415,-2.1108308224423062,-2.380615846460177,-2.727387110916174
2025-01-16,-0.19250258231098272,1.0127411974920977,-1.6658110318580541,-2.088994238757357,-2.355988331739317,-2.6991722410859786
2025-01-17,0.9989888126205493,0.9595518134844114,-1.5783222806576966,-1.979279815141272,-2.232251321331494,-2.5574111384572595
2025-01-21,0.9111841536098453,0.9143231187264966,-1.5039276980428595,-1.8859860071972772,-2.1270336434357766,-2.4368669780207854
2025-01-22,0.5605624445609081,0.870909061858874,-1.4325179291434729,-1.7964352760705762,-2.0260374445382947,-2.321159216294296
2025-01-23,0.5443283116489006,0.8151147413174169,-1.3407444386375642,-1.6813476165035381,-1.8962404455631228,-2.1724553997726725
2025-01-24,-0.2923446107859107,0.7665407838062112,-1.2608473884498708,-1.5811534922338524,-1.7832405227731791,-2.042995397475334
2025-01-27,-1.4246366989866033,0.7676784716754366,-1.262718718467905,-1.5835002155726496,-1.7858871805290737,-2.0460275793627085
2025-01-28,0.8555640495708339,1.0401133329176118,-1.710834188090118,-2.1454550930683927,-2.4196654407944194,-2.7721248456632903
2025-01-29,-0.4493100917667192,0.976846481447578,-1.6067694779838326,-2.014953748250484,-2.2724847353798485,-2.6035051334488504
2025-01-30,0.5352829859615937,0.9801039495556939,-1.6121275362161458,-2.021672969437142,-2.28006273938792,-2.612186983772924
2025-01-31,-0.5336161731915645,0.9076096585286426,-1.492885038687025,-1.8721380668644723,-2.111415799577041,-2.4189741684337394
2025-02-03,-0.6752291637566188,0.9390723610231714,-1.5446365789988457,-1.9370365862587327,-2.1846089906367676,-2.502829010532667
2025-02-04,0.668592614673269,0.9958709096456666,-1.6380618777061366,-2.054195679950187,-2.316742173473315,-2.6542093100163435
2025-02-05,0.40464052650461824,0.9281832959678418,-1.5267256608484763,-1.9145755723073228,-2.1592772372950093,-2.473807319500932
2025-02-06,0.34694855623236265,0.8564456664505026,-1.40872776074798,-1.7666014451216845,-1.9923905553786176,-2.2826111691774202
2025-02-07,-0.919552865124551,0.7916537145620921,-1.3021544836870627,-1.6329542561380552,-1.8416619358480575,-2.1099267376404676
2025-02-10,0.6768132786953984,0.9288814789828543,-1.5278740697129956,-1.9160157233543733,-2.160901453867675,-2.4756681268009473
